Type of crossover,name,fitness 
Order Crossover,5;2;6;1;4;7;3;0;,2
Order Crossover,7;2;6;1;5;4;3;0;,8
Order Crossover,5;2;6;1;3;4;0;7;,2
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,5;2;6;1;7;4;3;0;,2
Order Crossover,5;3;6;1;7;0;2;4;,8
Order Crossover,3;2;6;1;7;4;5;0;,8
Order Crossover,5;2;6;7;4;1;3;0;,4
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,7;2;6;1;5;4;0;3;,4
Order Crossover,5;0;6;1;7;3;4;2;,6
Order Crossover,5;2;4;1;7;6;3;0;,4
Order Crossover,1;2;6;5;7;4;3;0;,6
Order Crossover,5;2;6;1;7;4;3;0;,2
Order Crossover,5;4;6;1;7;2;3;0;,8
Order Crossover,5;2;6;1;7;4;3;0;,2
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,5;2;1;6;7;4;0;3;,8
Order Crossover,0;2;6;1;7;4;3;5;,4
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,3;6;2;1;7;4;0;5;,6
Order Crossover,5;2;3;1;7;4;6;0;,4
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,5;2;6;1;7;0;3;4;,6
Order Crossover,5;2;6;1;7;4;3;0;,2
Order Crossover,7;2;6;1;5;4;0;3;,4
Order Crossover,5;2;6;1;7;4;3;0;,2
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,2;5;6;1;7;4;0;3;,4
Order Crossover,0;2;6;1;7;4;3;5;,4
Order Crossover,1;2;6;5;7;4;3;0;,6
Order Crossover,5;2;0;1;7;4;6;3;,2
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,5;2;6;1;7;4;3;0;,2
Order Crossover,5;2;6;0;7;4;3;1;,8
Order Crossover,5;2;6;1;7;4;0;3;,0
Order Crossover,5;6;2;1;7;4;0;3;,4
Order Crossover,5;6;2;1;7;4;3;0;,8
Order Crossover,5;2;6;1;7;4;3;0;,2
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;1;7;0;4;2;,8
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,6;3;5;0;7;1;4;2;,4
Cycle Crossover,3;5;6;0;7;1;4;2;,8
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,3;5;6;0;7;1;4;2;,8
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;6;3;0;7;1;4;2;,4
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;4;0;7;1;6;2;,4
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,1;3;6;5;7;0;4;2;,6
Cycle Crossover,5;3;6;2;7;1;4;0;,2
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Cycle Crossover,5;3;7;0;6;1;4;2;,8
Cycle Crossover,3;5;6;0;7;1;4;2;,8
Cycle Crossover,4;1;6;0;7;3;5;2;,6
Cycle Crossover,5;3;6;0;7;1;4;2;,0
Elitism Order Crossover,5;3;6;0;2;1;4;7;,4
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,0;3;6;5;2;4;1;7;,6
Elitism Order Crossover,5;3;0;2;6;4;1;7;,6
Elitism Order Crossover,2;3;1;0;5;4;6;7;,10
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,5;3;7;0;2;4;1;6;,6
Elitism Order Crossover,5;3;6;0;2;1;4;7;,4
Elitism Order Crossover,5;3;0;6;2;4;1;7;,4
Elitism Order Crossover,5;3;6;7;2;4;1;0;,4
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,5;3;7;0;2;4;1;6;,6
Elitism Order Crossover,5;2;6;0;3;4;1;7;,6
Elitism Order Crossover,5;3;6;0;1;4;2;7;,6
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,5;3;6;2;4;0;1;7;,10
Elitism Order Crossover,5;0;6;3;2;4;1;7;,6
Elitism Order Crossover,5;6;3;2;0;4;1;7;,10
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
Elitism Order Crossover,5;3;6;2;4;0;1;7;,10
Elitism Order Crossover,5;3;6;2;4;0;1;7;,10
Elitism Order Crossover,4;3;6;1;2;5;0;7;,12
Elitism Order Crossover,1;0;6;7;2;4;5;3;,10
Elitism Order Crossover,3;7;6;0;2;4;5;1;,8
Elitism Order Crossover,7;3;6;2;4;1;5;0;,6
Elitism Order Crossover,5;3;6;0;2;4;1;7;,0
